Galaxy,fDM_outer_mean,fDM_last,bulge_frac_outer,npts,logL,logM,e_M,gW1,ML,Reff,Rdisk,SBeff,Q,fDM_2Reff,fDM_2p2Rdisk
NGC3877,-0.36729764357546274,-0.29273978152025504,0.0,13,10.811,10.649,0.006,4.42,0.69,4.39,2.53,598.18,2,-0.40796317530491155,-0.10929033878440944
NGC3893,0.4054508516641686,0.41863709347771527,0.0,10,10.789,10.689,0.005,3.41,0.79,2.43,2.38,1573.37,1,-0.2664766267572381,-0.20933439465143533
NGC3917,0.44994987349893617,0.5299894240502958,0.0,17,10.311,10.356,0.006,3.99,1.11,5.56,2.63,112.94,1,0.3676656509252665,0.27572456771422893
NGC3949,-0.00010291165401177249,0.08034172122824823,0.0,7,10.55,10.409,0.004,3.29,0.72,2.39,3.59,1058.84,2,-0.3894666280520651,
NGC3953,-0.1269651429511077,-0.06570443699296913,0.0,8,11.096,11.131,0.004,3.91,1.08,6.17,4.89,587.26,1,-0.19490534612035554,-0.22355523918347542
NGC3972,0.4088057710941891,0.4740580864335041,0.0,10,10.126,10.126,0.008,3.78,1.0,3.73,2.18,164.75,1,0.38099914658230294,0.2852624889126786
NGC3992,0.5113617747792335,0.5572739233384965,0.0,9,11.339,11.311,0.003,3.7,0.94,9.99,4.96,360.44,1,0.20551030705462445,0.18910603692293387
NGC4013,0.5600972016248712,0.5889133494809689,0.17857055436718355,36,10.862,10.769,0.002,4.52,0.81,4.11,3.53,746.16,2,-0.3432410217551295,-0.3548834248952476
NGC4051,-0.3638630845248486,-0.2868193002691273,0.0,7,11.145,11.057,0.006,3.46,0.82,6.87,4.65,319.76,2,,-0.4502618515367758
NGC4085,-0.19167404724477388,-0.08080155709342574,0.0,7,10.284,10.331,0.004,4.08,1.11,2.0,1.65,856.7,2,-0.42525859488515555,-0.39746968545936684
NGC4088,-0.01818016261550474,0.14916098559915447,0.0,12,10.967,11.008,0.002,3.95,1.1,6.1,2.58,457.96,1,-0.6790137108395777,-1.0
NGC4100,0.4401946140512822,0.48398698627427716,0.0,24,10.73,10.775,0.003,3.99,1.11,4.93,2.15,388.0,1,0.1314287578324552,0.11418696210983709
