Galaxy,fDM_outer_mean,fDM_last,bulge_frac_outer,npts,logL,logM,e_M,gW1,ML,Reff,Rdisk,SBeff,Q,fDM_2Reff,fDM_2p2Rdisk,Rmax,Rhalf_split,fDM_inner_half_mean,fDM_outer_half_mean,n_inner_half,n_outer_half,fDM_outer_minus_inner_half,fDM_inner_Reff_mean,fDM_outer_Reff_mean,n_inner_Reff,n_outer_Reff,fDM_outer_minus_inner_Reff
UGC02455,-0.6790414605295234,-0.3822144853533997,0.0,8,9.574,9.317,0.004,1.6,0.55,1.49,0.99,254.0,3,-1.0,-1.0,4.03,2.015,-1.0,-0.8395207302647616,4,4,0.1604792697352384,-1.0,-0.8930138201765078,2.0,6.0,0.10698617982349223
UGC02487,0.6996059649416104,0.7362460397334272,0.1924716822824348,17,11.934,11.754,0.004,4.38,0.66,9.63,7.89,818.14,1,0.2673828894937199,0.2487671638445028,80.38,40.19,0.316631104837203,0.6344216312451161,8,9,0.31779052640791305,,,,,
UGC02885,0.5828137966758253,0.6208049029323004,0.0860182025982656,19,12.109,11.863,0.002,3.0,0.57,12.2,11.4,421.53,1,0.1930086773621633,0.1961074134792557,74.07,37.035,0.08818855477921954,0.5117060236216442,9,10,0.42351746884242464,-0.08843288946007939,0.3860034936006035,3.0,16.0,0.47443638306068286
UGC02953,0.6765554177959532,0.7416944623161765,0.1082566389676333,115,11.462,11.216,0.004,3.0,0.57,5.03,3.55,1544.65,2,-0.0345312814816071,-0.1091840333499299,62.39,31.195,-0.21189312848354414,0.6019562789227567,91,24,0.8138494074063009,-0.40272075562742,0.1898158572196792,45.0,70.0,0.5925366128470992
UGC03205,0.6428733979972222,0.701616082644628,0.1267521035054335,48,11.005,10.759,0.008,3.0,0.57,5.35,3.19,587.26,1,-0.0439395696754951,-0.0137262605778009,40.04,20.02,0.06658615554221413,0.5396537070328998,41,7,0.4730675514906857,0.007635638214397159,0.1882561585723387,14.0,34.0,0.18062052035794154
UGC03546,0.4829757785134727,0.5668586378157803,0.2454195582244246,30,10.965,10.744,0.006,3.08,0.6,2.58,3.79,2403.42,1,-0.6637958972670108,-0.2113919555817338,29.23,14.615,-0.6643490147002349,0.3421505284896856,22,8,1.0064995431899204,-0.9475219411912943,-0.07661751275702326,11.0,19.0,0.8709044284342711
UGC03580,0.7616942556041181,0.7802959287200832,0.1514413706559279,47,10.311,10.065,0.005,3.0,0.57,1.84,2.43,614.94,2,-0.3474646785208993,-0.0932873501217623,27.06,13.53,-0.5257823276084276,0.6829352754843736,39,8,1.208717603092801,-0.8707339702804288,-0.035815646721510566,16.0,31.0,0.8349183235589182
UGC04325,0.6458290595966136,0.6508604735883424,0.0,8,9.3,9.045,0.03,2.96,0.56,2.79,1.86,41.0,1,0.6507167189028644,0.624070090831494,5.59,2.795,0.7278512860122764,0.6339684585432086,4,4,-0.09388282746906784,0.7469849488979065,0.6412648263056442,3.0,5.0,-0.10572012259226227
UGC04499,0.614860715170173,0.612540336093354,0.0,9,9.102,8.84,0.048,2.47,0.55,2.69,1.73,33.79,1,0.5838209913878444,0.500196309626303,8.18,4.09,0.25295412354674573,0.59554593933613,4,5,0.34259181578938425,0.0031815430992423455,0.5690261578098784,2.0,7.0,0.5658446147106361
UGC05253,0.5937430413236313,0.645388014476896,0.3188198378222008,73,11.234,11.036,0.011,3.14,0.63,4.28,8.07,1488.78,2,-0.1071866615774535,0.3186700756361151,53.29,26.645,-0.22174536821507515,0.5431850973025407,64,9,0.7649304655176159,-0.33017534927753067,0.039818720902914176,33.0,40.0,0.36999407018044483
UGC05414,0.5192857653930665,0.5430596345849824,0.0,6,9.239,8.975,0.029,2.64,0.54,2.33,1.47,32.87,1,,0.4782132394260906,4.11,2.055,0.23008065476255946,0.4902803419580537,3,3,0.26019968719549424,0.23008065476255946,0.4902803419580537,3.0,3.0,0.26019968719549424
UGC05716,0.7987999219098366,0.8230012598363109,0.0,12,8.592,8.329,0.091,2.54,0.55,1.84,1.14,27.59,2,0.7407812683233076,0.6869714629124163,12.37,6.185,0.7201866683314774,0.7980276759025439,5,7,0.07784100757106649,0.685214968789197,0.772901100380545,1.0,11.0,0.08768613159134808
UGC05721,0.840000596847906,0.8498840077528579,0.0,23,8.66,8.396,0.024,2.71,0.54,0.6,0.38,233.79,1,0.5558460783796335,0.3675840658760362,6.74,3.37,0.5433486149399693,0.8356369242179336,15,8,0.29228830927796423,0.17713686438495224,0.7151957012344076,3.0,20.0,0.5380588368494553
UGC05918,0.729221583993592,0.731246458780457,0.0,8,8.004,7.829,0.107,3.2,0.67,2.63,1.66,5.36,2,,0.7372689848996035,4.46,2.23,0.8083468124228835,0.738382399407518,3,5,-0.06996441301536549,0.7919653192857655,0.7372727892907947,4.0,4.0,-0.05469252999497087
UGC06399,0.6725262740159267,0.6978373053105649,0.0,9,9.266,9.045,0.03,3.08,0.6,3.45,2.05,30.82,1,0.664807710613932,0.6320191094142181,7.85,3.925,0.4968029041393524,0.6597365675133844,4,5,0.16293366337403198,0.46675699704818047,0.6476039104966316,3.0,6.0,0.1808469134484511
UGC06446,0.7656884478861479,0.7565915888535086,0.0,17,8.892,8.629,0.093,2.56,0.55,2.06,1.49,37.05,1,0.7677620084369172,0.7350147706513023,10.22,5.11,0.7169632687443985,0.761909484703772,8,9,0.044946215959373426,0.6602750134762284,0.7580047479900323,3.0,14.0,0.09772973451380385
UGC06614,0.7069443723567859,0.7069443723567859,0.3647886080153968,13,11.031,11.065,0.019,3.9,1.08,3.68,5.1,1461.61,1,-0.4157072443680658,-0.2194888424501216,64.59,32.295,-0.1425477924818044,0.6235022965748331,9,4,0.7660500890566375,-0.6791341640982038,0.15751776817177474,1.0,12.0,0.8366519322699786
UGC06628,-0.7057198665392421,-0.7716299202476964,0.0,7,9.808,9.557,0.033,2.98,0.56,4.14,2.82,34.74,2,,-0.5607841837321463,7.69,3.845,-0.0913045999221274,-0.5415751473908383,3,4,-0.4502705474687109,-0.0913045999221274,-0.5415751473908383,3.0,4.0,-0.4502705474687109
UGC06667,0.8449981628611463,0.840112574188269,0.0,9,9.042,8.78,0.017,2.34,0.55,3.5,5.15,18.06,1,0.8377977332808663,,7.85,3.925,0.9187393127981214,0.856602875086306,4,5,-0.06213643771181543,0.9290977145383194,0.8617797471681762,3.0,6.0,-0.06731796737014317
UGC06786,0.7405014234887612,0.7635453471395521,0.2240508253001429,45,10.843,10.837,0.013,3.76,0.99,3.42,3.6,992.73,1,0.1209567346822457,0.200695026725727,34.05,17.025,0.11309177529131394,0.6947202775884924,36,9,0.5816285022971784,-0.17172078755557332,0.30331136635980915,7.0,38.0,0.47503215391538245
UGC06787,0.7592200934221088,0.7998345344098424,0.4210470307673784,71,10.845,10.853,0.002,3.81,1.02,2.88,5.37,1891.6,2,-0.0161039879165207,0.4115562499375856,37.19,18.595,-0.1340253563378783,0.6851781448382491,56,15,0.8192035011761274,-0.6269370708866374,0.26522866969079295,18.0,53.0,0.8921657405774304
UGC06818,0.6540513725622555,0.7028575196554515,0.0,8,9.168,8.913,0.046,2.96,0.56,2.12,1.39,56.08,2,0.4982214194604808,-0.0397018830560457,6.98,3.49,-0.5341942740726888,0.5414964842357024,3,5,1.0756907583083912,-0.6632107586429818,0.4052201860410682,2.0,6.0,1.06843094468405
UGC06917,0.5925947078347921,0.5956906338771204,0.0,11,10.274,10.019,0.009,2.96,0.56,4.52,2.76,53.07,1,0.5866954062466458,0.5422821263503896,10.47,5.235,0.34500238954855994,0.5630170497378407,4,7,0.21801466018928078,0.34500238954855994,0.5630170497378407,4.0,7.0,0.21801466018928078
UGC06923,0.4296776533015144,0.4463599611385372,0.0,6,9.403,9.142,0.034,2.93,0.55,1.66,1.44,166.28,2,0.3575068725437966,0.3446321816843669,5.16,2.58,-0.37830016420111223,0.39253348900329454,2,4,0.7708336532044068,-0.6157032159731748,0.2858473687168257,1.0,5.0,0.9015505846900005
UGC06930,0.593268627114769,0.6338056927297668,0.0,10,10.014,9.749,0.019,2.73,0.54,4.38,3.94,73.93,1,0.4932176434481316,0.4930929048441195,16.61,8.305,0.3978223719099768,0.5490527637689336,4,6,0.15123039185895681,0.2890247759759643,0.5384445647876976,2.0,8.0,0.24941978881173332
UGC06973,-0.1542381426662125,0.0128882808641974,0.1241579207025283,9,10.691,10.346,0.003,4.78,0.45,1.61,1.07,3317.65,3,-1.0,-1.0,7.85,3.925,-1.0,-0.37587527235944335,3,6,0.6241247276405566,,,,,
UGC06983,0.6987303114096188,0.7301230367814157,0.0,17,9.711,9.446,0.034,2.81,0.54,3.95,3.21,53.56,1,0.6539445731737741,0.6445958142385387,15.68,7.84,0.5032336012628823,0.6872881148222744,7,10,0.18405451355939206,0.3384088319107561,0.6700207043807608,3.0,14.0,0.3316118724700047
UGC07089,0.4904183702566412,0.5577282992451424,0.0,12,9.525,9.36,0.029,3.22,0.68,3.9,2.26,37.4,2,0.4632088903447,0.2811663708510599,9.16,4.58,0.10746061142724414,0.43921585064550644,5,7,0.33175523921826233,0.07500317422600389,0.41397516434384385,4.0,8.0,0.33897199011783996
UGC07125,0.4747530993241099,0.5557194546071829,0.0,13,9.382,9.222,0.045,3.23,0.69,3.92,3.38,28.11,1,0.45878051700839,0.4572931666650899,18.68,9.34,0.2237053461602928,0.4709109102147785,6,7,0.24720556405448568,-0.06424792857973133,0.43337311869315176,2.0,11.0,0.4976210472728831
UGC07151,0.4608322288789528,0.4679088047064983,0.0,11,9.352,9.117,0.016,3.04,0.58,2.17,1.25,76.71,1,0.4605674860242768,0.3992314026089659,5.5,2.75,0.24762318663614807,0.4500039093789104,5,6,0.2023807227427623,0.21098009096277007,0.4420312893718747,4.0,7.0,0.23105119840910462
