row_index,CID,IDSURVEY,RA,DEC,zHD,zCMB,environment_method,catalog_source,environment_label,void_label,filament_label,nearest_void_id,nearest_void_sample,nearest_void_distance_mpc_h,nearest_void_radius_mpc_h,void_distance_over_radius,nearest_filament_id,nearest_filament_point_id,nearest_filament_distance_mpc_h,coverage_flag,notes
284,2010A,66,38.1644,0.6195,0.02081,0.02079,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,near_filament,not_void,near_filament,14207,dim1,73.37092255636387,4.24,17.30446286706695,13962,264193,0.7889716190957375,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
285,2003W,57,146.706,16.0438,0.02082,0.02087,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,20369,dim1,10.84177714444232,3.7,2.9302100390384647,2779,98185,7.39066003939466,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
286,2003W,63,146.706,16.0438,0.02082,0.02087,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,20369,dim1,10.84177714444232,3.7,2.9302100390384647,2779,98185,7.39066003939466,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
287,2001br,57,277.607,34.1036,0.0209,0.02046,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,12160,dim1,34.29843232810771,3.7,9.269846575164244,8750,206904,71.3152205769631,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
288,ASASSN-16lc,18,292.252,-51.971,0.02096,0.02001,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,14207,dim1,65.22975829484213,4.24,15.384376956330689,3014,104231,67.61945269474165,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
289,AT2016eoa,150,5.3461,22.4354,0.02106,0.01993,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,39938,bright1,318.9190660118715,19.25,16.56722420840891,356,16501,28.739160755811593,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
290,ASASSN-16lg,150,267.051,17.6256,0.02116,0.02093,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,12160,dim1,39.43205344916403,3.7,10.657311743017305,2920,101832,78.72202299012388,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
291,2004bw,57,225.945,-3.3046,0.02116,0.02207,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,13943,dim1,26.147876756570472,3.58,7.303876188986165,2920,101832,63.187691867454454,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
292,2008Z,57,145.814,36.2844,0.02118,0.02146,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,void,void,field_or_wall,12670,dim1,1.704640620156739,3.91,0.43596946807077724,9977,222145,16.436858775811118,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
293,2008Z,65,145.814,36.2844,0.02118,0.02146,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,void,void,field_or_wall,12670,dim1,1.704640620156739,3.91,0.43596946807077724,9977,222145,16.436858775811118,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
294,2007bc,57,169.811,20.809,0.02131,0.02187,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,19494,dim1,16.096487668273365,8.55,1.8826301366401594,2779,98185,21.36860320321339,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
295,2007bc,5,169.811,20.809,0.02131,0.02187,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,19494,dim1,16.096487668273365,8.55,1.8826301366401594,2779,98185,21.36860320321339,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
296,2007bc,64,169.811,20.809,0.02131,0.02187,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,19494,dim1,16.096487668273365,8.55,1.8826301366401594,2779,98185,21.36860320321339,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
297,SN2016ajf,150,49.9771,41.565,0.02134,0.01978,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,12634,dim1,63.41239432522787,3.68,17.231628892724963,12740,252531,7.985106455263225,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
298,2009dc,5,237.801,25.7078,0.02137,0.02179,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,19919,dim1,20.675728205927754,6.89,3.000831379670211,2920,101832,67.1280052422369,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
299,2018fop,18,18.8255,-6.859,0.02151,0.02017,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,14207,dim1,75.91059695995997,4.24,17.90344267923584,1122,46568,16.561270330293272,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
300,ASASSN-15uv,150,126.784,27.8116,0.02153,0.02104,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,12634,dim1,11.02352720768888,3.68,2.9955236977415436,3067,105624,4.043475680076908,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
301,ASASSN-18da,18,52.3194,-23.9786,0.0217,0.02157,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,14207,dim1,75.1788681338413,4.24,17.730865125905968,2227,83047,2.9385788834248032,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
