galaxy,fdm_outer_mean,age_literature,age_combined_proxy,age_best,age_source,SB0_disk_Lpc2,Vmax_kms,Rmax_kpc
F583-1,0.7893608081296696,,7.279049588892697,7.279049588892697,proxy,34.28,86.9,16.26
UGC05716,0.8243880385425886,,7.282978093773002,7.282978093773002,proxy,30.68,74.7,12.37
UGC05829,0.6890406685767153,,7.31744917067976,7.31744917067976,proxy,16.55,68.6,6.91
D512-2,0.7883386786142456,,7.345260392238842,7.345260392238842,proxy,16.45,37.2,3.83
UGC07577,0.3789100321004364,,7.36003651717575,7.36003651717575,proxy,14.37,17.8,1.69
DDO161,0.7921040583825228,,7.406795085327863,7.406795085327863,proxy,30.32,67.5,13.37
F571-V1,0.8119890416195776,,7.4686331995184165,7.4686331995184165,proxy,23.44,84.3,13.59
UGC05918,0.8159833692959654,,7.473668981982181,7.473668981982181,proxy,13.38,44.5,4.46
NGC3521,0.6520192136393628,7.5,2.6328283213000834,7.5,literature,5592.84,220.0,17.74
UGC06667,0.8807118562287574,,7.537071009945735,7.537071009945735,proxy,10.79,85.7,7.85
F565-V2,0.8702850693771396,,7.578376882670817,7.578376882670817,proxy,12.58,83.1,8.8
F567-2,0.659222907681596,,7.598804088979213,7.598804088979213,proxy,22.17,52.2,9.59
UGC05999,0.7705575515816783,,7.651632788835988,7.651632788835988,proxy,18.53,100.0,16.22
KK98-251,0.6566686034846324,,7.68714323348093,7.68714323348093,proxy,8.69,34.6,3.13
UGCA442,0.8667602646353219,,7.71100969921314,7.71100969921314,proxy,11.05,57.8,6.33
UGC00891,0.8131502905603393,,7.723110473422492,7.723110473422492,proxy,11.7,63.75,7.39
F574-2,0.0966653855452674,,7.914423811198554,7.914423811198554,proxy,19.17,40.0,10.83
UGC00634,0.8227820111758254,,8.10929428271331,8.10929428271331,proxy,10.41,108.0,18.01
UGC00731,0.7526057748891617,,8.15988059582195,8.15988059582195,proxy,8.65,74.0,10.91
UGCA444,0.8417027963287701,,8.181983541883938,8.181983541883938,proxy,2.83,38.3,2.62
NGC5055,0.7319482740224661,8.2,3.830900797180671,8.2,literature,4079.93,206.0,54.59
F563-V1,0.227413427282254,,8.226868390774262,8.226868390774262,proxy,12.6,29.5,7.87
D564-8,0.8505715372976393,,8.238871032211023,8.238871032211023,proxy,6.37,25.0,3.07
DDO170,0.7711371342178549,,8.298934008347523,8.298934008347523,proxy,9.38,62.2,12.33
DDO064,0.7199736467167196,8.5,6.321524995797084,8.5,literature,28.5,46.9,2.98
NGC7331,0.6647033128245184,8.5,3.9781662470853116,8.5,literature,2029.41,257.0,36.31
NGC0891,0.475118991879105,9.2,3.0178279249568645,9.2,literature,2850.07,234.0,17.11
NGC3109,0.8953414574317811,9.5,7.6053737234631535,9.5,literature,10.55,67.3,6.45
NGC2841,0.857701728708394,9.5,5.186795259952657,9.5,literature,560.42,323.0,63.64
UGC00128,0.8892980085106944,9.8,6.959894511600272,9.8,literature,81.19,134.0,53.75
DDO168,0.7727330585500134,9.8,6.80306920126648,9.8,literature,20.43,55.0,4.12
UGC05750,0.7518677681921281,10.1,7.621485548976415,10.1,literature,29.26,78.9,22.85
NGC3741,0.924689684651265,10.2,7.010760921677537,10.2,literature,35.93,51.6,7.0
DDO154,0.870426287481052,10.5,7.542397050582619,10.5,literature,15.93,48.2,5.92
